Date	Season	Round	HomeTeam	AwayTeam	Ground
2018-03-22	2018	R1	Richmond	Carlton	M.C.G.
2018-03-23	2018	R1	Essendon	Adelaide	Docklands
2018-03-24	2018	R1	St Kilda	Brisbane	Docklands
2018-03-24	2018	R1	Port Adelaide	Fremantle	Adelaide Oval
2018-03-24	2018	R1	Gold Coast	North Melbourne	Cazaly's Stadium
2018-03-24	2018	R1	Hawthorn	Collingwood	M.C.G.
2018-03-25	2018	R1	GW Sydney	Western Bulldogs	Manuka Oval
2018-03-25	2018	R1	Melbourne	Geelong	M.C.G.
2018-03-25	2018	R1	West Coast	Sydney	Perth Stadium
2018-03-29	2018	R2	Adelaide	Richmond	Adelaide Oval
2018-03-30	2018	R2	North Melbourne	St Kilda	Docklands
2018-03-31	2018	R2	Carlton	Gold Coast	Docklands
2018-03-31	2018	R2	Collingwood	GWS Giants	M.C.G.
2018-03-31	2018	R2	Brisbane	Melbourne	Gabba
2018-03-31	2018	R2	Fremantle	Essendon	Perth Stadium
2018-04-01	2018	R2	Western Bulldogs	West Coast	Docklands
2018-04-01	2018	R2	Sydney	Port Adelaide	S.C.G.
2018-04-02	2018	R2	Geelong	Hawthorn	M.C.G.
2018-04-06	2018	R3	Carlton	Collingwood	M.C.G.
2018-04-07	2018	R3	Port Adelaide	Brisbane	Adelaide Oval
2018-04-07	2018	R3	Melbourne	North Melbourne	M.C.G.
2018-04-07	2018	R3	Gold Coast	Fremantle	Perth Stadium
2018-04-07	2018	R3	Sydney	GWS Giants	S.C.G.
2018-04-07	2018	R3	St Kilda	Adelaide	Docklands
2018-04-08	2018	R3	Richmond	Hawthorn	M.C.G.
2018-04-08	2018	R3	Western Bulldogs	Essendon	Docklands
2018-04-08	2018	R3	West Coast	Geelong	Perth Stadium
2018-04-13	2018	R4	Adelaide	Collingwood	Adelaide Oval
2018-04-14	2018	R4	GW Sydney	Fremantle	Manuka Oval
2018-04-14	2018	R4	Richmond	Brisbane	M.C.G.
2018-04-14	2018	R4	Western Bulldogs	Sydney	Docklands
2018-04-14	2018	R4	North Melbourne	Carlton	Bellerive Oval
2018-04-14	2018	R4	West Coast	Gold Coast	Perth Stadium
2018-04-15	2018	R4	Essendon	Port Adelaide	Docklands
2018-04-15	2018	R4	Hawthorn	Melbourne	M.C.G.
2018-04-15	2018	R4	Geelong	St Kilda	Kardinia Park
2018-04-20	2018	R5	Sydney	Adelaide	S.C.G.
2018-04-21	2018	R5	St Kilda	GWS Giants	Docklands
2018-04-21	2018	R5	Carlton	West Coast	M.C.G.
2018-04-21	2018	R5	Port Adelaide	Geelong	Adelaide Oval
2018-04-21	2018	R5	Fremantle	Western Bulldogs	Perth Stadium
2018-04-22	2018	R5	North Melbourne	Hawthorn	Docklands
2018-04-22	2018	R5	Brisbane	Gold Coast	Gabba
2018-04-24	2018	R5	Melbourne	Richmond	M.C.G.
2018-04-25	2018	R5	Collingwood	Essendon	M.C.G.
2018-04-27	2018	R6	Western Bulldogs	Carlton	Docklands
2018-04-28	2018	R6	Geelong	Sydney	Kardinia Park
2018-04-28	2018	R6	North Melbourne	Port Adelaide	Docklands
2018-04-28	2018	R6	GW Sydney	Brisbane	Sydney Showground
2018-04-28	2018	R6	Hawthorn	St Kilda	York Park
